LoanID,Servicing Fee Percentage,Servicing Fee Flat Dollar,Servicing Advance Methodology,MERS Originator Number,Originator Name,Loan Group,Loan Number,Alt ID,Dummy ID,Amortization Type,Lien Position,Heloc Indicator,Loan Purpose,Cash Out Amount,Total Origination and Discount Points in Dollars,High Cost Indicator,Relocation Loan Indicator,Broker Indicator,Channel,Escrow Indicator,Senior Loan Amounts,Loan Type of Most Senior Lien,Junior Mortgage Balance,Origination Date of Most Senior Loan,Origination Date,Original Loan Amount,Original Interest Rate,Original Amortization Term,Original Term to Maturity,First Payment Date of Loan,Interest Type Indicator,Original Interest Only Term,Buy Down Period,HELOC Draw Period,Current Loan Amount,Current Interest Rate,Current Payment Amount Due,Interest Paid Through Date,Current Payment Status,Index Type,ARM Look Back Days,Gross Margin,ARM Round Flag,ARM Rounding Factor,Initial Fixed Rate Period,Initial Interest Rate Cap Change Up,Initial Interest Rate Cap Change Down,Subsequent Interest Rate Reset Period,Subsequent Interest Rate Change Up,Subsequent Interest Rate Change Down,Lifetime Maximum Rate Ceiling,Lifetime Minimum Rate Floor,Prepayment Penalty Calculation,Prepayment Penalty Type,Prepayment Penalty Total Term,Prepayment Penalty Hard Term,Primary Borrower ID,Number of Mortgaged Properties,Total Number of Borrowers,Self Employment Flag,Current Other Monthly Payment,Length Of Employment Borrower,Length of Employment Co-Borrower,Years in Home,FICO Model Used,Most Recent FICO Date,Primary Borrower Original FICO Equifax,Primary Borrower Original FICO Experian,Primary Borrower Original FICO Transunion,Co-Borrower Original FICO Equifax,Co-Borrower Original FICO Experian,Co-Borrower Original FICO Transunion,Original Primary Borrower FICO,Original Co-Borrower FICO,Original Third Borrower FICO,Updated FICO Date,Updated Primary Borrower FICO,Updated Co-Borrower FICO,Credit Report Longest Trade Line,Credit Report Maximum Trade Line,Credit Report Number of Trade Lines,Credit Line Usage Ratio,Most Recent 24 Month Pay History,Months Bankruptcy,Months Foreclosure,Months Short Sale,Months DIL,Primary Borrower Wage Income,Co-Borrower Wage Income,Primary Borrower Other Income,Co-Borrower Other Income,Co-Mortgagor Income,All Borrower Wage Income,All Borrower Total Income,4506T Indicator,Borrower Income Verification Level,Co-Borrower Income Verification Level,Borrower Employment Verification Level,Co-Borrower Employment Verification Level,Borrower Asset Verification Level,Co-Borrower Asset Verification Level, Liquid Cash Reserves , Monthly Debt All Borrowers ,Originator DTI,Fully Indexed Rate,Qualification Method,Percentage of Down Payment From Borrower Own Funds,City,State,Postal Code,Property Type,Occupancy,Sales Price,Original Appraised Property Value,Original Property Valuation Type,Original Property Valuation Date,Original Automated Valuation Model AVM Model Name,Original AVM Confidence Score,Most Recent Property Value,Most Recent Property Valuation Type,Most Recent Property Valuation Date,Most Recent AVM Model Name,Most Recent AVM Confidence Score, Value Used for LTV ,Original CLTV,Original LTV,Original Pledged Assets,UW Exception,Qualifying Rate,Application Date,Date of Bankruptcy,BK Chapter,Date of Foreclosure,Date of Short Sale,Date of DIL,Date of Credit Event,TRID,ATR Loan Type,Non-QM Reason,Loan Category,Loan Type,Loan Program,Doc Type,Bank Statement/1099 Flag,Business/Personal Bank Statement,Bank Statement/1099 Months,Months of Income Verification,First Time Homebuyer?,Borrower Retired Flag,Co-Borrower Retired Flag,Borrower US Citizen,Co-Borrower US Citizen,Borrower Perm Resident Alien,Co-Borrower Perm Resident Alien,Foreign National Flag,Borrower Vesting Org Type,Lease In Place Flag,Actual In Place Rent,Third Party Market Rent,Third Party Rent Source ,Rental Income Used for DSCR,Rental Income Source Used for DSCR,PITIA,Debt Service Ratio,Servicing Administrator,Servicing Released/Retained,Modification (Y/N),Date of Modification,Number_of_Mods,Modification_Type,Rem_Term_Post_Mod,Mat_Date_Post_Mod,P_I_Pmt_Post_Mod,P_I_Pmt_Pre_Mod,Rate_Post_Mod,Rate_Pre_Mod_,Deferral (Y/N),Date of Deferral,Deferred Balances,Months of Payment Deferred,Forbearance Granted Flag,Effective Date of Forbearance,Forbearance End Date,Forbearance Extension/Expiration
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,201910060239,,208776491,2,1,,3,"285,930","3,000",,,0,1,4,,,,,11/13/2019,"300,000.00",5.375,360,360,1/1/2020,2,0,,,"295,154.24",5.375,"1,679.91",1/1/2021,Current,39,45,4.000,3,0.125,60,2.000,1.375,12,2.000,2.000,10.375,4.000,,, , ,,,2,1,374.71,12.33,0.00,1.33,1,10/8/2019,689,706,685,717,785,751,689,751, ,2/5/2021,767,,,,,,0000000000000,,,,,"7,997",0,0,0,,"7,997","7,997",0,3,1,3,1,4,4,"305,207","3,624",45.319,5.994,4,,Rydal,GA,30171,1,1,0,"454,000",3,10/28/2019,,,,,,,,"454,000",66.079,66.079,,,5.994,10/8/2019,, ,,,,,Y,Non-QM,,,Bank Statement,12 Month Business Bank Statements,Business Bank Statements (12 to 23 Months),Y,Business,12,12,,,,Y,Y,N,N,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202006076090,,212473949,1,1,,7,0,"7,200",,,0,1,4,,,,,8/24/2020,"720,000.00",6.250,360,360,10/1/2020,2,0,,,"716,548.43",6.250,"4,433.16",1/1/2021,Current,,,,,,,,,,,,,,,, , ,,1,1,1,"1,485.03",16.67,,0.33,1,7/30/2020,742,724,754,,,,742,, ,,,,,,,,0000,,,,,"15,607",0,0,0,,"15,607","15,607",0,3,,3,,4,,"38,389","7,503",48.077,,1,,Atlanta,GA,30305,1,1,"900,000","1,000,000",3,8/6/2020,,,,,,,,"900,000",80.000,80.000,,,6.250,7/20/2020,, ,,,,,Y,Non-QM,,,Bank Statement,12 Month Business Bank Statements,Business Bank Statements (12 to 23 Months),Y,Business,12,12,N,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202008079480,,2021010001,1,1,,3,"121,021","2,213",,,0,1,4,,,,,11/13/2020,"221,250.00",5.250,360,360,1/1/2021,2,0,,,"220,741.33",5.250,"1,221.75",1/1/2021,Current,,,,,,,,,,,,,,,, , ,001,5,2,1,310.19,15.25,0.00,15.75,1,10/21/2020,685,709,706,720,744,739,706,739, ,,,,,,,,0,,,,,"15,146",0,0,0,,"15,146","15,146",0,3,3,3,3,4,4,"130,108","6,132",40.484,,1,,Marietta,GA,30060,7,1,0,"295,000",3,10/7/2020,,,,,,,,"295,000",75.000,75.000,,,5.250,9/18/2020,, ,,,,,Y,Non-QM,,,Bank Statement,12 Month Business Bank Statements,Business Bank Statements (12 to 23 Months),Y,Business,12,12,,,,Y,Y,N,N,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202008079658,,212580900,1,1,,6,0,"4,680",,,0,1,4,,,,,9/23/2020,"468,000.00",6.625,360,360,11/1/2020,2,0,,,"461,307.03",6.625,"2,996.66",2/1/2021,Current,,,,,,,,,,,,,,,, , ,,,1,1,792.01,8.00,,3.42,1,8/10/2020,648,691,682,,,,682,,,2/5/2021,690,,,,,,000,,,,,"26,659",0,0,0,,"26,659","26,659",0,3,,3,,4,,"169,831","5,504",20.645,,1,,Atlanta,GA,30339,7,1,"585,000","585,000",3,9/5/2020,,,,,,,,"585,000",80.000,80.000,,,6.625,8/21/2020,, ,,,,,Y,Non-QM,,,Bank Statement,24 Month Business Bank Statements,Business Bank Statements (24 Months),Y,Business,24,24,Y,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202008081379,,212580891,1,1,,7,0,0,,,0,1,4,,,,,9/22/2020,"701,250.00",5.750,360,360,11/1/2020,2,0,,,"698,300.31",5.750,"4,092.30",2/1/2021,Current,,,,,,,,,,,,,,,, , ,,,1,1,"1,336.26",26.00,,0.83,1,8/31/2020,789,786,788,,,,788,,,2/5/2021,799,,,,,,000,,,,,"13,774",0,0,0,,"13,774","13,774",0,3,,3,,4,,"75,449","6,562",47.637,,1,,Sandy Springs,GA,30342,7,1,"825,000","850,000",3,9/11/2020,,,,,,,,"825,000",85.000,85.000,,,5.750,9/2/2020,, ,,,,,Y,Non-QM,,,Bank Statement,24 Month Business Bank Statements,Business Bank Statements (24 Months),Y,Business,24,24,N,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202009082059,,2021010002,1,1,,7,0,"11,213",,,0,1,4,,,,,11/30/2020,"1,121,250.00",5.750,360,360,1/1/2021,2,0,,,"1,113,251.60",5.750,"6,543.31",2/1/2021,Current,,,,,,,,,,,,,,,1,24,24,,1,1,1,"1,796.48",9.83,,0.75,1,9/30/2020,766,735,736,,,,736,,,,,,,,,,0,,,,,"57,190",0,0,0,,"57,190","57,190",0,3,,2,,4,,"268,529","15,146",26.483,,1,,Miramar Beach,GA,32550,7,3,"1,495,000","1,530,000",3,10/24/2020,,,,,,,,"1,495,000",75.000,75.000,,,5.750,10/19/2020,, ,,,,,n.a.,Exempt,,,Bank Statement,24 Month Business Bank Statements,Business Bank Statements (24 Months),Y,Business,24,24,N,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202009082427,,2021010003,1,1,,7,0,"20,000",,,0,1,4,,,,,11/25/2020,"2,000,000.00",5.125,360,360,1/1/2021,2,0,,,"1,995,293.83",5.125,"10,889.74",1/1/2021,Current,,,,,,,,,,,,,,,, , ,,5,1,1,"4,399.67",4.33,,1.83,1,9/17/2020,685,716,702,,,,702,,,2/5/2021,709,,,,,,0,121,,,,"88,262",0,0,0,,"88,262","88,262",0,3,,3,,4,,"138,217","20,831",23.602,,1,,Atlanta,GA,30327,1,1,"3,569,940","3,650,000",3,10/13/2020,,,,,,,,"3,569,940",56.023,56.023,,,5.125,10/1/2020,1/1/2011,7,,,,1/1/2011,Y,Non-QM,,,Bank Statement,24 Month Business Bank Statements,Business Bank Statements (24 Months),Y,Business,24,24,N,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202009083259,,2021010004,1,1,,7,0,"3,225",,,0,1,4,,,,,10/30/2020,"322,500.00",6.375,360,360,12/1/2020,2,0,,,"321,599.13",6.375,"2,011.98",1/1/2021,Current,,,,,,,,,,,,,,,, , ,,1,2,1,761.23,3.25,3.25,17.42,1,9/24/2020,732,803,741,732,757,728,741,732,,2/5/2021,764,,,,,,00,,,,,"22,773",0,0,0,,"22,773","22,773",0,3,3,3,3,4,4,"477,774","8,201",36.011,,1,,Hollywood,GA,29449,1,3,"430,000","430,000",3,10/22/2020,,,,,,,,"430,000",75.000,75.000,,,6.375,9/27/2020,, ,,,,,n.a.,Exempt,,,Bank Statement,12 Month Business Bank Statements,Business Bank Statements (12 to 23 Months),Y,Business,12,12,N,,,Y,Y,N,N,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202009083448,,2021010005,1,1,,9,0,"2,403",,,0,1,4,,,,,11/30/2020,"240,300.00",6.250,360,360,1/1/2021,2,0,,,"239,842.79",6.250,"1,479.57",1/1/2021,Current,,,,,,,,,,,,,,,1,24,24,,1,1,1,562.44,6.50,,1.58,1,9/28/2020,681,686,682,,,,682,,,2/5/2021,685,,,,,,0,,,,,"13,622",0,0,0,,"13,622","13,622",0,3,,3,,4,,"14,167","6,363",46.709,,1,,Atlanta,GA,30312,1,3,0,"325,000",3,10/12/2020,,,,,,,,"325,000",73.938,73.938,,,6.250,9/28/2020,, ,,,,,n.a.,Exempt,,,Bank Statement,12 Month Business Bank Statements,Business Bank Statements (12 to 23 Months),Y,Business,12,12,,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
1000938,0.375,,1,1010395,Angel Oak Home Loans,1,202010084534,,2021010006,1,1,,7,0,"6,700",,,0,1,4,,,,,11/13/2020,"670,000.00",6.125,360,360,1/1/2021,2,0,,,"668,694.28",6.125,"4,070.99",1/1/2021,Current,,,,,,,,,,,,,,,, , ,,1,1,1,"1,090.08",4.00,,1.42,1,10/8/2020,770,788,751,,,,770,,,,,,,,,,0,,,,,"33,792",0,0,0,,"33,792","33,792",0,3,,2,,4,,"85,053","12,573",37.208,,1,,Atlanta,GA,30305,1,1,"760,000","760,000",3,10/27/2020,,,,,,,,"760,000",88.158,88.158,,,6.125,10/11/2020,, ,,,,,Y,Non-QM,,,Bank Statement,12 Month Personal Bank Statements,Personal Bank Statements (12 to 23 Months),Y,Personal,12,12,N,,,Y,,N,,N, ,,,,,,,,,AOHL,Released,N,,,,,,,,,,N,,0.00,0,N,,,
